1 	 109 	 7 	 43
2 	 213 	 18 	 46
3 	 261 	 15 	 33
4 	 141 	 11 	 68
5 	 53 	 6 	 77
1 	 97 	 6 	 8
2 	 283 	 17 	 113
3 	 19 	 5 	 64
4 	 69 	 6 	 163
5 	 146 	 12 	 26
1 	 85 	 8 	 10
2 	 93 	 7 	 15
3 	 287 	 18 	 93
4 	 319 	 20 	 16
5 	 31 	 7 	 143
1 	 217 	 24 	 79
2 	 23 	 1 	 120
3 	 121 	 14 	 139
4 	 107 	 8 	 92
5 	 193 	 17 	 110
1 	 183 	 16 	 30
2 	 115 	 15 	 26
3 	 97 	 11 	 126
4 	 206 	 18 	 40
5 	 137 	 15 	 29
1 	 89 	 6 	 26
2 	 269 	 17 	 115
3 	 149 	 8 	 137
4 	 65 	 7 	 116
1 	 275 	 21 	 1
2 	 240 	 14 	 33
3 	 17 	 2 	 57
4 	 143 	 15 	 97
5 	 211 	 20 	 65
1 	 209 	 11 	 128
2 	 259 	 18 	 81
3 	 195 	 11 	 40
4 	 69 	 6 	 113
5 	 191 	 14 	 19
1 	 187 	 9 	 105
2 	 213 	 16 	 147
3 	 47 	 7 	 11
4 	 39 	 6 	 117
5 	 152 	 11 	 161
1 	 169 	 13 	 77
2 	 257 	 16 	 94
3 	 103 	 17 	 166
4 	 145 	 11 	 155
5 	 173 	 15 	 114
1 	 157 	 12 	 114
2 	 49 	 5 	 127
3 	 217 	 14 	 46
5 	 17 	 1 	 67
1 	 227 	 12 	 4
3 	 313 	 22 	 169
4 	 155 	 20 	 126
5 	 175 	 3 	 136
1 	 93 	 7 	 158
2 	 29 	 4 	 159
3 	 173 	 11 	 131
4 	 83 	 10 	 45
5 	 255 	 17 	 77
1 	 299 	 24 	 62
2 	 45 	 8 	 67
3 	 47 	 4 	 79
4 	 105 	 14 	 31
5 	 75 	 7 	 67
1 	 279 	 12 	 68
2 	 49 	 7 	 134
3 	 55 	 9 	 39
4 	 59 	 6 	 87
5 	 33 	 4 	 80
1 	 169 	 12 	 49
2 	 5 	 1 	 0
3 	 71 	 11 	 52
4 	 199 	 13 	 45
5 	 167 	 16 	 24
1 	 225 	 14 	 31
2 	 287 	 23 	 116
3 	 59 	 8 	 17
4 	 5 	 1 	 0
5 	 61 	 8 	 18
1 	 305 	 22 	 69
2 	 219 	 14 	 57
3 	 155 	 16 	 108
4 	 95 	 10 	 54
5 	 97 	 11 	 137
1 	 141 	 10 	 135
2 	 233 	 17 	 3
3 	 37 	 8 	 21
4 	 265 	 25 	 55
5 	 190 	 10 	 139
1 	 305 	 14 	 132
2 	 149 	 9 	 15
3 	 57 	 7 	 50
4 	 45 	 8 	 105
5 	 71 	 7 	 53
1 	 118 	 8 	 126
2 	 217 	 20 	 14
3 	 85 	 6 	 116
4 	 89 	 11 	 127
