1 	 27 	 3 	 153
2 	 227 	 13 	 159
3 	 189 	 13 	 128
4 	 135 	 10 	 8
5 	 165 	 12 	 151
1 	 83 	 5 	 5
2 	 95 	 5 	 104
3 	 145 	 9 	 26
4 	 85 	 6 	 92
5 	 237 	 17 	 40
1 	 155 	 8 	 25
2 	 229 	 15 	 138
3 	 151 	 9 	 80
4 	 125 	 8 	 35
5 	 95 	 6 	 35
1 	 171 	 8 	 166
2 	 201 	 9 	 33
3 	 55 	 3 	 128
4 	 241 	 9 	 29
5 	 111 	 7 	 56
1 	 99 	 8 	 98
2 	 127 	 7 	 168
3 	 147 	 9 	 24
4 	 157 	 8 	 95
5 	 217 	 15 	 166
1 	 235 	 9 	 153
2 	 204 	 5 	 135
3 	 153 	 7 	 152
4 	 211 	 16 	 52
5 	 163 	 8 	 149
1 	 33 	 3 	 65
2 	 174 	 2 	 18
3 	 63 	 5 	 109
4 	 141 	 9 	 99
5 	 123 	 8 	 118
1 	 303 	 11 	 34
2 	 143 	 11 	 42
3 	 139 	 8 	 39
4 	 23 	 1 	 140
5 	 51 	 3 	 13
1 	 195 	 11 	 6
2 	 71 	 4 	 73
3 	 305 	 17 	 78
4 	 23 	 1 	 148
5 	 69 	 4 	 85
1 	 203 	 11 	 137
2 	 59 	 4 	 95
3 	 139 	 9 	 89
4 	 103 	 7 	 79
5 	 23 	 1 	 86
1 	 31 	 4 	 72
2 	 87 	 5 	 156
3 	 137 	 7 	 25
4 	 55 	 6 	 9
5 	 247 	 11 	 168
1 	 235 	 10 	 14
2 	 55 	 3 	 36
3 	 37 	 3 	 148
4 	 291 	 13 	 96
5 	 251 	 15 	 26
1 	 147 	 9 	 139
2 	 35 	 2 	 120
3 	 281 	 14 	 39
4 	 195 	 11 	 95
5 	 171 	 7 	 16
1 	 199 	 7 	 81
2 	 139 	 6 	 124
3 	 145 	 10 	 158
4 	 207 	 13 	 89
5 	 131 	 8 	 67
1 	 171 	 2 	 72
2 	 103 	 11 	 153
3 	 61 	 4 	 72
4 	 65 	 4 	 126
5 	 39 	 4 	 61
1 	 39 	 2 	 40
2 	 97 	 7 	 111
3 	 233 	 13 	 118
4 	 125 	 11 	 26
5 	 157 	 6 	 159
1 	 261 	 12 	 30
2 	 165 	 10 	 56
3 	 133 	 9 	 58
4 	 243 	 12 	 114
5 	 121 	 7 	 156
1 	 95 	 6 	 69
2 	 137 	 8 	 135
3 	 255 	 11 	 128
4 	 281 	 18 	 145
5 	 303 	 18 	 34
1 	 83 	 6 	 90
2 	 137 	 6 	 27
3 	 265 	 13 	 139
4 	 55 	 4 	 120
5 	 43 	 5 	 106
1 	 41 	 3 	 151
2 	 307 	 16 	 128
3 	 207 	 11 	 37
5 	 105 	 6 	 97
1 	 141 	 6 	 108
2 	 49 	 4 	 88
3 	 177 	 11 	 31
4 	 183 	 11 	 145
5 	 89 	 6 	 108
1 	 65 	 6 	 1
2 	 173 	 10 	 142
3 	 141 	 8 	 91
4 	 99 	 5 	 55
5 	 73 	 5 	 161
1 	 123 	 6 	 59
2 	 121 	 6 	 40
3 	 229 	 12 	 162
4 	 103 	 9 	 70
5 	 261 	 17 	 109
1 	 151 	 6 	 124
2 	 279 	 11 	 93
3 	 218 	 13 	 145
4 	 333 	 16 	 125
5 	 69 	 9 	 4
1 	 123 	 8 	 11
2 	 247 	 16 	 150
3 	 149 	 7 	 167
5 	 121 	 11 	 138
1 	 131 	 7 	 21
2 	 117 	 8 	 23
3 	 141 	 11 	 134
4 	 95 	 6 	 83
5 	 125 	 11 	 87
1 	 291 	 15 	 5
2 	 251 	 16 	 14
3 	 179 	 11 	 123
4 	 229 	 12 	 6
5 	 141 	 10 	 84
1 	 211 	 11 	 84
2 	 71 	 7 	 87
3 	 219 	 11 	 154
4 	 37 	 4 	 71
5 	 257 	 13 	 62
1 	 175 	 10 	 36
2 	 277 	 12 	 98
3 	 71 	 5 	 108
4 	 165 	 6 	 168
5 	 145 	 14 	 135
1 	 19 	 1 	 74
2 	 65 	 4 	 59
3 	 123 	 7 	 54
4 	 121 	 7 	 98
5 	 186 	 5 	 42
1 	 117 	 7 	 125
2 	 113 	 8 	 33
3 	 43 	 3 	 48
4 	 39 	 2 	 84
5 	 119 	 7 	 102
1 	 73 	 4 	 59
2 	 319 	 17 	 152
3 	 107 	 10 	 127
4 	 191 	 13 	 120
5 	 125 	 7 	 82
1 	 337 	 20 	 63
2 	 223 	 12 	 146
3 	 221 	 11 	 95
4 	 95 	 6 	 147
5 	 187 	 15 	 102
1 	 299 	 11 	 90
2 	 45 	 3 	 167
3 	 79 	 6 	 46
4 	 35 	 3 	 27
5 	 113 	 8 	 144
1 	 64 	 4 	 59
2 	 105 	 5 	 163
3 	 83 	 5 	 121
4 	 195 	 13 	 1
5 	 75 	 9 	 12
1 	 309 	 19 	 98
2 	 91 	 6 	 34
3 	 309 	 16 	 64
4 	 151 	 11 	 118
5 	 51 	 5 	 166
1 	 291 	 10 	 85
2 	 61 	 4 	 144
3 	 143 	 11 	 24
4 	 333 	 18 	 65
5 	 43 	 4 	 24
1 	 163 	 10 	 107
2 	 267 	 15 	 86
3 	 169 	 12 	 58
4 	 33 	 2 	 138
5 	 253 	 11 	 118
1 	 157 	 7 	 133
2 	 115 	 7 	 93
3 	 115 	 11 	 31
4 	 204 	 6 	 125
5 	 81 	 4 	 51
1 	 27 	 3 	 74
2 	 47 	 3 	 76
3 	 283 	 13 	 148
4 	 179 	 11 	 123
5 	 53 	 5 	 141
1 	 35 	 3 	 51
2 	 31 	 2 	 11
3 	 165 	 11 	 153
4 	 335 	 22 	 152
5 	 299 	 18 	 81
1 	 283 	 17 	 74
2 	 211 	 11 	 133
3 	 19 	 1 	 152
4 	 135 	 9 	 154
5 	 37 	 2 	 18
1 	 297 	 10 	 154
2 	 181 	 14 	 95
3 	 105 	 7 	 90
4 	 185 	 16 	 93
5 	 41 	 2 	 103
1 	 83 	 6 	 161
2 	 175 	 10 	 129
3 	 49 	 4 	 1
4 	 57 	 5 	 21
5 	 59 	 5 	 85
1 	 123 	 8 	 38
2 	 119 	 6 	 134
3 	 115 	 11 	 57
4 	 283 	 17 	 139
5 	 93 	 8 	 90
1 	 221 	 8 	 6
2 	 243 	 14 	 53
3 	 95 	 6 	 28
4 	 135 	 7 	 42
5 	 97 	 6 	 132
1 	 237 	 12 	 19
2 	 155 	 13 	 168
3 	 203 	 9 	 132
4 	 187 	 11 	 150
5 	 99 	 9 	 64
1 	 27 	 2 	 9
2 	 277 	 14 	 17
3 	 337 	 21 	 108
4 	 207 	 11 	 122
5 	 197 	 12 	 76
1 	 165 	 9 	 54
2 	 31 	 4 	 166
3 	 117 	 7 	 40
4 	 168 	 6 	 2
5 	 61 	 4 	 97
1 	 199 	 10 	 166
2 	 187 	 8 	 18
3 	 249 	 10 	 81
4 	 173 	 11 	 139
5 	 37 	 3 	 113
1 	 209 	 9 	 38
2 	 165 	 15 	 37
3 	 47 	 3 	 141
4 	 167 	 12 	 72
5 	 69 	 6 	 10
1 	 197 	 10 	 157
2 	 61 	 4 	 14
3 	 135 	 10 	 105
4 	 141 	 9 	 96
5 	 105 	 11 	 147
1 	 157 	 12 	 152
3 	 101 	 9 	 127
4 	 111 	 7 	 26
5 	 121 	 13 	 91
1 	 119 	 6 	 22
2 	 47 	 4 	 44
3 	 31 	 2 	 92
4 	 71 	 5 	 74
5 	 21 	 1 	 69
1 	 299 	 11 	 85
2 	 65 	 6 	 165
3 	 241 	 12 	 123
4 	 131 	 9 	 23
5 	 145 	 9 	 168
1 	 69 	 4 	 165
2 	 113 	 9 	 85
3 	 165 	 9 	 115
4 	 319 	 15 	 162
5 	 149 	 9 	 105
1 	 297 	 15 	 2
2 	 201 	 13 	 93
3 	 45 	 3 	 168
4 	 93 	 6 	 105
5 	 107 	 7 	 101
1 	 159 	 9 	 96
2 	 19 	 1 	 6
3 	 229 	 12 	 114
4 	 197 	 10 	 76
5 	 47 	 4 	 1
1 	 277 	 11 	 45
2 	 55 	 4 	 110
3 	 37 	 2 	 71
4 	 39 	 3 	 161
5 	 13 	 1 	 161
1 	 103 	 7 	 90
2 	 157 	 7 	 28
3 	 159 	 12 	 161
4 	 39 	 2 	 131
5 	 61 	 7 	 38
1 	 75 	 5 	 165
2 	 253 	 16 	 107
3 	 81 	 10 	 68
4 	 204 	 7 	 132
5 	 241 	 18 	 10
1 	 95 	 6 	 60
2 	 159 	 8 	 94
3 	 121 	 12 	 50
4 	 79 	 9 	 15
5 	 35 	 2 	 9
1 	 65 	 7 	 60
2 	 43 	 4 	 80
3 	 147 	 6 	 55
4 	 165 	 9 	 41
5 	 97 	 6 	 135
1 	 319 	 18 	 150
2 	 55 	 6 	 165
3 	 69 	 6 	 8
4 	 231 	 14 	 34
5 	 119 	 9 	 108
1 	 33 	 2 	 74
2 	 237 	 8 	 79
3 	 295 	 10 	 69
4 	 83 	 7 	 142
5 	 93 	 6 	 109
1 	 301 	 16 	 33
2 	 115 	 7 	 135
3 	 69 	 5 	 124
4 	 185 	 13 	 57
5 	 103 	 7 	 150
1 	 283 	 14 	 59
2 	 23 	 1 	 155
3 	 205 	 14 	 96
4 	 99 	 6 	 59
5 	 29 	 3 	 126
1 	 91 	 6 	 76
2 	 141 	 6 	 77
3 	 109 	 6 	 36
4 	 227 	 11 	 97
5 	 103 	 9 	 11
1 	 249 	 15 	 73
2 	 59 	 4 	 144
3 	 47 	 5 	 49
4 	 143 	 10 	 71
5 	 307 	 19 	 130
1 	 225 	 12 	 22
2 	 55 	 6 	 145
3 	 187 	 12 	 163
4 	 81 	 8 	 107
5 	 183 	 7 	 13
1 	 189 	 9 	 119
2 	 229 	 15 	 84
3 	 169 	 13 	 63
4 	 207 	 14 	 95
5 	 41 	 3 	 10
1 	 43 	 4 	 145
2 	 111 	 8 	 112
3 	 223 	 12 	 14
4 	 205 	 12 	 69
5 	 67 	 4 	 151
1 	 217 	 8 	 43
2 	 237 	 14 	 126
3 	 65 	 4 	 120
4 	 267 	 14 	 38
5 	 87 	 8 	 132
1 	 319 	 14 	 7
2 	 201 	 11 	 66
3 	 131 	 10 	 34
4 	 113 	 9 	 124
5 	 121 	 7 	 86
1 	 65 	 5 	 26
2 	 61 	 4 	 86
3 	 49 	 4 	 75
4 	 123 	 9 	 147
5 	 97 	 8 	 123
1 	 307 	 14 	 58
2 	 190 	 4 	 62
3 	 41 	 3 	 41
4 	 13 	 1 	 38
5 	 85 	 6 	 167
1 	 129 	 8 	 18
2 	 21 	 2 	 160
3 	 85 	 9 	 3
4 	 69 	 5 	 82
5 	 125 	 8 	 78
1 	 57 	 4 	 85
2 	 265 	 14 	 53
3 	 47 	 4 	 43
4 	 37 	 2 	 117
5 	 307 	 16 	 44
1 	 33 	 2 	 120
2 	 77 	 5 	 19
3 	 47 	 4 	 108
4 	 197 	 12 	 79
5 	 203 	 15 	 100
1 	 297 	 17 	 100
2 	 39 	 3 	 102
3 	 309 	 19 	 113
4 	 129 	 13 	 100
5 	 227 	 11 	 144
1 	 99 	 6 	 142
2 	 93 	 7 	 87
3 	 101 	 5 	 62
4 	 87 	 6 	 130
5 	 227 	 10 	 70
1 	 109 	 6 	 30
2 	 61 	 4 	 92
3 	 83 	 10 	 123
4 	 93 	 7 	 82
5 	 161 	 12 	 33
1 	 169 	 7 	 147
2 	 235 	 9 	 62
3 	 113 	 5 	 54
4 	 251 	 12 	 54
5 	 35 	 6 	 45
1 	 333 	 15 	 143
2 	 107 	 11 	 37
3 	 167 	 9 	 94
4 	 123 	 10 	 163
5 	 143 	 8 	 28
1 	 279 	 13 	 108
2 	 129 	 11 	 96
3 	 73 	 5 	 96
4 	 271 	 14 	 37
5 	 269 	 16 	 99
1 	 327 	 19 	 116
2 	 155 	 11 	 76
3 	 211 	 11 	 16
4 	 89 	 6 	 30
5 	 147 	 12 	 124
1 	 93 	 7 	 105
2 	 31 	 4 	 143
3 	 223 	 11 	 41
4 	 209 	 13 	 128
5 	 141 	 12 	 147
1 	 61 	 5 	 28
2 	 247 	 11 	 20
3 	 55 	 6 	 46
4 	 23 	 1 	 14
5 	 181 	 11 	 46
1 	 299 	 14 	 42
2 	 223 	 15 	 26
3 	 51 	 3 	 137
4 	 149 	 9 	 57
5 	 127 	 8 	 163
1 	 41 	 2 	 140
2 	 41 	 4 	 22
3 	 255 	 15 	 110
4 	 119 	 5 	 71
5 	 81 	 5 	 142
1 	 6 	 1 	 0
2 	 37 	 2 	 60
3 	 145 	 6 	 64
4 	 69 	 4 	 55
5 	 145 	 10 	 136
1 	 31 	 2 	 128
2 	 51 	 4 	 128
3 	 277 	 12 	 42
4 	 101 	 9 	 60
5 	 259 	 12 	 21
1 	 279 	 12 	 145
2 	 317 	 22 	 34
3 	 87 	 8 	 84
4 	 85 	 4 	 67
5 	 29 	 2 	 1
1 	 281 	 18 	 115
2 	 67 	 6 	 90
3 	 153 	 11 	 56
4 	 245 	 13 	 47
5 	 197 	 12 	 143
1 	 199 	 8 	 95
2 	 113 	 7 	 36
3 	 75 	 8 	 127
4 	 49 	 4 	 96
5 	 131 	 8 	 153
1 	 229 	 14 	 127
2 	 119 	 8 	 58
3 	 61 	 5 	 165
4 	 293 	 14 	 116
5 	 39 	 4 	 2
1 	 223 	 13 	 15
2 	 23 	 3 	 111
3 	 325 	 16 	 117
4 	 85 	 4 	 67
5 	 181 	 14 	 142
1 	 313 	 15 	 13
2 	 151 	 11 	 48
3 	 111 	 10 	 117
4 	 131 	 8 	 110
5 	 47 	 4 	 152
1 	 181 	 8 	 77
2 	 87 	 8 	 141
3 	 41 	 4 	 118
4 	 307 	 13 	 70
5 	 15 	 1 	 105
1 	 201 	 7 	 68
2 	 69 	 5 	 47
3 	 31 	 3 	 34
4 	 191 	 8 	 77
5 	 171 	 9 	 70
1 	 125 	 6 	 35
2 	 127 	 11 	 35
3 	 73 	 7 	 105
4 	 27 	 3 	 150
5 	 171 	 12 	 36
1 	 201 	 11 	 9
2 	 6 	 1 	 0
3 	 73 	 6 	 147
4 	 253 	 12 	 92
5 	 267 	 13 	 32
1 	 177 	 10 	 97
2 	 33 	 2 	 153
3 	 227 	 9 	 15
4 	 257 	 13 	 121
